City,Country,Latitude,Longitude,Temperature (°C),Windspeed (km/h),Condition
Vienna,Austria,48.2,,7.5,1.3,Clear sky
Brussels,Belgium,50.854,,14.2,12.6,Clear sky
Sofia,Bulgaria,42.6875,,4.2,14.5,Mainly clear
Zagreb,Croatia,45.82,,8.5,4.0,Clear sky
Nicosia,Cyprus,35.1875,,12.3,16.6,Clear sky
Prague,Czechia,50.08,,5.0,2.5,Clear sky
Copenhagen,Denmark,55.6785,,2.3,16.6,Overcast
Tallinn,Estonia,59.439518,,-2.0,17.6,Overcast
Helsinki,Finland,60.17136,,-2.1,15.5,Overcast
Paris,France,48.86,,15.0,3.9,Clear sky
Berlin,Germany,52.52,,4.8,11.7,Clear sky
Athens,Greece,38.0,,6.9,4.2,Clear sky
Budapest,Hungary,47.501236,,5.5,10.4,Clear sky
Dublin,Ireland,53.34086,,11.4,19.1,Mainly clear
Rome,Italy,41.875,,11.1,1.8,Clear sky
Riga,Latvia,56.95295,,-3.3,11.2,Overcast
Vilnius,Lithuania,54.68259,,-1.0,4.3,Overcast
Luxembourg,Luxembourg,49.612,,9.1,8.3,Mainly clear
Valletta,Malta,35.875,,12.8,5.0,Mainly clear
Amsterdam,Netherlands,52.366,,12.3,11.9,Partly cloudy
Warsaw,Poland,52.23009,,-1.0,6.5,Overcast
Lisbon,Portugal,38.75,,13.8,6.0,Mainly clear
Bucharest,Romania,44.4375,,2.0,3.9,Mainly clear
Bratislava,Slovakia,48.14,,4.8,3.0,Clear sky
Ljubljana,Slovenia,46.06,,7.6,1.1,Clear sky
Madrid,Spain,40.4375,,11.6,4.8,Partly cloudy
Stockholm,Sweden,59.3289,,0.7,23.4,Drizzle (moderate)
